           (1,2)      (2,3)      (3,4)        (4,5)

     10  0.011875*  0.010659*  0.755522     0.008609
     20  0.003493   0.011960   0.026863*    0.010529
     50  0.004558   0.006705   0.040828     3.281841
    100  0.004198   0.006589   0.065489     9.104594
    200  0.008162   0.007472   0.170201    41.432243
    500  0.031788   0.021915   1.126929    32.057349*
   1000  0.152856   0.091764   5.983321   172.219765
   2000  0.835802   0.500554  36.252068  1006.051687
   5000  8.694775   4.788890      n/a         n/a
  10000 46.745463  27.915673      n/a         n/a

 Digits    10         10         20          500
  Order     2          2          8           22


          (1,2)^2    (2,3)^2    (3,4)^2      (4,5)^2

     10  0.011875*  0.008540*  0.044645     0.012741
     20  0.003493   0.004514   0.017176*    0.009126
     50  0.004558   0.004658   0.015821     3.212889
    100  0.004198   0.005865   0.021194    10.397501
    200  0.008162   0.006137   0.033915     0.544795*
    500  0.031788   0.010545   0.187762     3.771447
   1000  0.152856   0.028975   0.922482    20.556719
   2000  0.835802   0.135482   5.174720   121.294758
   5000  8.694775   1.299630      n/a         n/a
  10000 46.745463   7.248978      n/a         n/a

 Digits    10         10         20          200
  Order     1          1          4           11
