1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -4.142076e-01, e+1: -1.365803e-01, T: 7.4928e-01, no:       5, try:       500000
emin+1: -4.142094e-01, e+1: -1.398560e-01, T: 6.3096e-01, no:       2, try:      1000000
emin+1: -4.142122e-01, e+1: -1.453210e-01, T: 4.7276e-01, no:       0, try:      1500000
emin+1: -4.142130e-01, e+1: -1.536039e-01, T: 3.9811e-01, no:       0, try:      2000000
emin+1: -4.142133e-01, e+1: -1.642076e-01, T: 2.9829e-01, no:       0, try:      2500000
emin+1: -4.142133e-01, e+1: -1.739254e-01, T: 2.5119e-01, no:       0, try:      3000000
emin+1: -4.142133e-01, e+1: -1.940017e-01, T: 1.8821e-01, no:       3, try:      3500000
emin+1: -4.142133e-01, e+1: -2.106177e-01, T: 1.5849e-01, no:       0, try:      4000000
emin+1: -4.142133e-01, e+1: -2.368641e-01, T: 1.1875e-01, no:       3, try:      4500000
emin+1: -4.142133e-01, e+1: -2.663679e-01, T: 1.0000e-01, no:       2, try:      5000000
emin+1: -4.142135e-01, e+1: -2.950124e-01, T: 7.4928e-02, no:       0, try:      5500000
emin+1: -4.142135e-01, e+1: -3.208095e-01, T: 6.3096e-02, no:       1, try:      6000000
emin+1: -4.142135e-01, e+1: -3.421079e-01, T: 4.7276e-02, no:       1, try:      6500000
emin+1: -4.142135e-01, e+1: -3.589911e-01, T: 3.9811e-02, no:       6, try:      7000000
emin+1: -4.142135e-01, e+1: -3.708965e-01, T: 2.9829e-02, no:       1, try:      7500000
emin+1: -4.142135e-01, e+1: -3.795971e-01, T: 2.5119e-02, no:       4, try:      8000000
emin+1: -4.142135e-01, e+1: -3.866259e-01, T: 1.8821e-02, no:       2, try:      8500000
emin+1: -4.142136e-01, e+1: -3.920516e-01, T: 1.5849e-02, no:       0, try:      9000000
emin+1: -4.142136e-01, e+1: -3.965553e-01, T: 1.1875e-02, no:       1, try:      9500000
emin+1: -4.142136e-01, e+1: -3.997031e-01, T: 1.0000e-02, no:       5, try:     10000000
emin+1: -4.142136e-01, e+1: -4.025962e-01, T: 7.4928e-03, no:       1, try:     10500000
emin+1: -4.142136e-01, e+1: -4.049016e-01, T: 6.3096e-03, no:       1, try:     11000000
emin+1: -4.142136e-01, e+1: -4.067418e-01, T: 4.7276e-03, no:       1, try:     11500000
emin+1: -4.142136e-01, e+1: -4.080989e-01, T: 3.9811e-03, no:       1, try:     12000000
emin+1: -4.142136e-01, e+1: -4.093300e-01, T: 2.9829e-03, no:       0, try:     12500000
emin+1: -4.142136e-01, e+1: -4.102626e-01, T: 2.5119e-03, no:       1, try:     13000000
emin+1: -4.142136e-01, e+1: -4.110188e-01, T: 1.8821e-03, no:      20, try:     13500000
emin+1: -4.142136e-01, e+1: -4.116289e-01, T: 1.5849e-03, no:      14, try:     14000000
emin+1: -4.142136e-01, e+1: -4.121642e-01, T: 1.1875e-03, no:       5, try:     14500000
emin+1: -4.142136e-01, e+1: -4.125704e-01, T: 1.0000e-03, no:       3, try:     15000000
emin+1: -4.142136e-01, e+1: -4.128944e-01, T: 7.4928e-04, no:       3, try:     15500000
emin+1: -4.142136e-01, e+1: -4.131440e-01, T: 6.3096e-04, no:      49, try:     16000000
emin+1: -4.142136e-01, e+1: -4.133694e-01, T: 4.7276e-04, no:       6, try:     16500000
emin+1: -4.142136e-01, e+1: -4.135344e-01, T: 3.9811e-04, no:       2, try:     17000000
emin+1: -4.142136e-01, e+1: -4.136757e-01, T: 2.9829e-04, no:      89, try:     17500000
emin+1: -4.142136e-01, e+1: -4.137858e-01, T: 2.5119e-04, no:      60, try:     18000000
emin+1: -4.142136e-01, e+1: -4.138730e-01, T: 1.8821e-04, no:       7, try:     18500000
emin+1: -4.142136e-01, e+1: -4.139411e-01, T: 1.5849e-04, no:      93, try:     19000000
emin+1: -4.142136e-01, e+1: -4.139987e-01, T: 1.1875e-04, no:     105, try:     19500000
emin+1: -4.142136e-01, e+1: -4.140409e-01, T: 1.0000e-04, no:      26, try:     20000000
emin+1: -4.142136e-01, e+1: -4.140789e-01, T: 7.4928e-05, no:      21, try:     20500000
emin+1: -4.142136e-01, e+1: -4.141050e-01, T: 6.3096e-05, no:       9, try:     21000000
emin+1: -4.142136e-01, e+1: -4.141265e-01, T: 4.7276e-05, no:      68, try:     21500000
emin+1: -4.142136e-01, e+1: -4.141433e-01, T: 3.9811e-05, no:      17, try:     22000000
emin+1: -4.142136e-01, e+1: -4.141588e-01, T: 2.9829e-05, no:      12, try:     22500000
emin+1: -4.142136e-01, e+1: -4.141703e-01, T: 2.5119e-05, no:       3, try:     23000000
emin+1: -4.142136e-01, e+1: -4.141795e-01, T: 1.8821e-05, no:      11, try:     23500000
emin+1: -4.142136e-01, e+1: -4.141862e-01, T: 1.5849e-05, no:       5, try:     24000000
emin+1: -4.142136e-01, e+1: -4.141915e-01, T: 1.1875e-05, no:     158, try:     24500000
emin+1: -4.142136e-01, e+1: -4.141957e-01, T: 1.0000e-05, no:      25, try:     25000000
emin+1: -4.142136e-01, e+1: -4.142001e-01, T: 7.4928e-06, no:     140, try:     25500000
emin+1: -4.142136e-01, e+1: -4.142030e-01, T: 6.3096e-06, no:      12, try:     26000000
emin+1: -4.142136e-01, e+1: -4.142050e-01, T: 4.7276e-06, no:      14, try:     26500000
emin+1: -4.142136e-01, e+1: -4.142067e-01, T: 3.9811e-06, no:      55, try:     27000000
emin+1: -4.142136e-01, e+1: -4.142083e-01, T: 2.9829e-06, no:     163, try:     27500000
