2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -3.718695e-02, e+1:  1.735059e-01, T: 7.4928e-01, no:       3, try:         6000
emin+1: -4.375521e-02, e+1:  1.757538e-01, T: 6.3096e-01, no:       0, try:        12000
emin+1: -4.375521e-02, e+1:  1.650262e-01, T: 4.7276e-01, no:       1, try:        18000
emin+1: -4.481047e-02, e+1:  1.603031e-01, T: 3.9811e-01, no:       0, try:        24000
emin+1: -5.482655e-02, e+1:  1.564772e-01, T: 2.9829e-01, no:       0, try:        30000
emin+1: -5.482655e-02, e+1:  1.767071e-01, T: 2.5119e-01, no:       3, try:        36000
emin+1: -5.482655e-02, e+1:  1.377385e-01, T: 1.8821e-01, no:       0, try:        42000
emin+1: -5.482655e-02, e+1:  1.614116e-01, T: 1.5849e-01, no:       0, try:        48000
emin+1: -5.482655e-02, e+1:  1.254129e-01, T: 1.1875e-01, no:       1, try:        54000
emin+1: -5.482655e-02, e+1:  1.015779e-01, T: 1.0000e-01, no:       0, try:        60000
emin+1: -5.482655e-02, e+1:  9.287848e-02, T: 7.4928e-02, no:       2, try:        66000
emin+1: -5.482655e-02, e+1:  9.520114e-02, T: 6.3096e-02, no:       0, try:        72000
emin+1: -5.482655e-02, e+1:  4.493529e-02, T: 4.7276e-02, no:       1, try:        78000
emin+1: -5.482655e-02, e+1:  3.348542e-02, T: 3.9811e-02, no:       1, try:        84000
emin+1: -5.482655e-02, e+1:  2.387298e-02, T: 2.9829e-02, no:       0, try:        90000
emin+1: -5.482655e-02, e+1:  1.377489e-02, T: 2.5119e-02, no:       1, try:        96000
emin+1: -5.788968e-02, e+1:  1.245005e-02, T: 1.8821e-02, no:       1, try:       102000
emin+1: -5.788968e-02, e+1: -1.421462e-02, T: 1.5849e-02, no:       4, try:       108000
emin+1: -5.788968e-02, e+1: -1.236690e-02, T: 1.1875e-02, no:       4, try:       114000
emin+1: -6.027493e-02, e+1: -2.801674e-02, T: 1.0000e-02, no:       1, try:       120000
emin+1: -6.027493e-02, e+1: -2.950757e-02, T: 7.4928e-03, no:       0, try:       126000
emin+1: -6.027493e-02, e+1: -3.576078e-02, T: 6.3096e-03, no:       0, try:       132000
emin+1: -6.027493e-02, e+1: -4.051727e-02, T: 4.7276e-03, no:       1, try:       138000
emin+1: -6.027493e-02, e+1: -4.509126e-02, T: 3.9811e-03, no:       0, try:       144000
emin+1: -6.035203e-02, e+1: -5.028648e-02, T: 2.9829e-03, no:       7, try:       150000
emin+1: -6.035203e-02, e+1: -5.231199e-02, T: 2.5119e-03, no:       4, try:       156000
emin+1: -6.035203e-02, e+1: -5.319883e-02, T: 1.8821e-03, no:       2, try:       162000
emin+1: -6.053105e-02, e+1: -5.484545e-02, T: 1.5849e-03, no:       6, try:       168000
emin+1: -6.053105e-02, e+1: -5.642084e-02, T: 1.1875e-03, no:      18, try:       174000
emin+1: -6.053105e-02, e+1: -5.667011e-02, T: 1.0000e-03, no:       1, try:       180000
emin+1: -6.053105e-02, e+1: -5.786318e-02, T: 7.4928e-04, no:       0, try:       186000
emin+1: -6.053105e-02, e+1: -5.832618e-02, T: 6.3096e-04, no:      13, try:       192000
emin+1: -6.055874e-02, e+1: -5.855049e-02, T: 4.7276e-04, no:       1, try:       198000
emin+1: -6.057421e-02, e+1: -5.923281e-02, T: 3.9811e-04, no:       1, try:       204000
emin+1: -6.058406e-02, e+1: -5.913331e-02, T: 2.9829e-04, no:       0, try:       210000
emin+1: -6.058406e-02, e+1: -5.967568e-02, T: 2.5119e-04, no:       4, try:       216000
emin+1: -6.061988e-02, e+1: -5.996013e-02, T: 1.8821e-04, no:       7, try:       222000
emin+1: -6.061988e-02, e+1: -6.006091e-02, T: 1.5849e-04, no:      24, try:       228000
emin+1: -6.062090e-02, e+1: -6.015623e-02, T: 1.1875e-04, no:      16, try:       234000
emin+1: -6.064288e-02, e+1: -6.024977e-02, T: 1.0000e-04, no:       1, try:       240000
emin+1: -6.064288e-02, e+1: -6.034480e-02, T: 7.4928e-05, no:       0, try:       246000
emin+1: -6.064450e-02, e+1: -6.042768e-02, T: 6.3096e-05, no:       9, try:       252000
emin+1: -6.064450e-02, e+1: -6.036518e-02, T: 4.7276e-05, no:      10, try:       258000
emin+1: -6.065115e-02, e+1: -6.052624e-02, T: 3.9811e-05, no:      19, try:       264000
emin+1: -6.065115e-02, e+1: -6.050101e-02, T: 2.9829e-05, no:       8, try:       270000
emin+1: -6.065338e-02, e+1: -6.057307e-02, T: 2.5119e-05, no:      31, try:       276000
emin+1: -6.065432e-02, e+1: -6.059367e-02, T: 1.8821e-05, no:       4, try:       282000
emin+1: -6.065567e-02, e+1: -6.058252e-02, T: 1.5849e-05, no:      12, try:       288000
emin+1: -6.065567e-02, e+1: -6.061969e-02, T: 1.1875e-05, no:       9, try:       294000
emin+1: -6.065567e-02, e+1: -6.062812e-02, T: 1.0000e-05, no:      20, try:       300000
emin+1: -6.065835e-02, e+1: -6.062658e-02, T: 7.4928e-06, no:     191, try:       306000
