2 3
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -5.328196e-02, e+1:  1.781128e-01, T: 7.4928e-01, no:       1, try:       180000
emin+1: -5.615023e-02, e+1:  1.720262e-01, T: 6.3096e-01, no:       5, try:       360000
emin+1: -5.615023e-02, e+1:  1.739548e-01, T: 4.7276e-01, no:       1, try:       540000
emin+1: -5.785450e-02, e+1:  1.701218e-01, T: 3.9811e-01, no:       0, try:       720000
emin+1: -5.862764e-02, e+1:  1.637203e-01, T: 2.9829e-01, no:       0, try:       900000
emin+1: -5.862764e-02, e+1:  1.555566e-01, T: 2.5119e-01, no:       0, try:      1080000
emin+1: -5.862764e-02, e+1:  1.518431e-01, T: 1.8821e-01, no:       0, try:      1260000
emin+1: -5.862764e-02, e+1:  1.408224e-01, T: 1.5849e-01, no:       0, try:      1440000
emin+1: -5.862764e-02, e+1:  1.263345e-01, T: 1.1875e-01, no:       2, try:      1620000
emin+1: -5.862764e-02, e+1:  1.157748e-01, T: 1.0000e-01, no:       2, try:      1800000
emin+1: -5.862764e-02, e+1:  9.922649e-02, T: 7.4928e-02, no:       0, try:      1980000
emin+1: -5.862764e-02, e+1:  7.514641e-02, T: 6.3096e-02, no:       0, try:      2160000
emin+1: -5.931122e-02, e+1:  6.099844e-02, T: 4.7276e-02, no:       1, try:      2340000
emin+1: -5.931122e-02, e+1:  4.317504e-02, T: 3.9811e-02, no:       0, try:      2520000
emin+1: -5.931122e-02, e+1:  3.138442e-02, T: 2.9829e-02, no:       0, try:      2700000
emin+1: -5.931122e-02, e+1:  1.672966e-02, T: 2.5119e-02, no:       0, try:      2880000
emin+1: -5.931122e-02, e+1:  8.210287e-03, T: 1.8821e-02, no:       0, try:      3060000
emin+1: -5.982040e-02, e+1: -4.494975e-03, T: 1.5849e-02, no:       0, try:      3240000
emin+1: -5.982040e-02, e+1: -9.487681e-03, T: 1.1875e-02, no:       3, try:      3420000
emin+1: -6.046259e-02, e+1: -1.697254e-02, T: 1.0000e-02, no:       1, try:      3600000
emin+1: -6.052554e-02, e+1: -2.659198e-02, T: 7.4928e-03, no:       3, try:      3780000
emin+1: -6.052554e-02, e+1: -3.425050e-02, T: 6.3096e-03, no:       1, try:      3960000
emin+1: -6.052554e-02, e+1: -4.235568e-02, T: 4.7276e-03, no:       2, try:      4140000
emin+1: -6.052554e-02, e+1: -4.645794e-02, T: 3.9811e-03, no:       0, try:      4320000
emin+1: -6.052554e-02, e+1: -4.854440e-02, T: 2.9829e-03, no:       6, try:      4500000
emin+1: -6.053268e-02, e+1: -5.108640e-02, T: 2.5119e-03, no:       4, try:      4680000
emin+1: -6.058347e-02, e+1: -5.347976e-02, T: 1.8821e-03, no:       4, try:      4860000
emin+1: -6.058347e-02, e+1: -5.491444e-02, T: 1.5849e-03, no:       0, try:      5040000
emin+1: -6.058347e-02, e+1: -5.596265e-02, T: 1.1875e-03, no:       0, try:      5220000
emin+1: -6.060097e-02, e+1: -5.693445e-02, T: 1.0000e-03, no:      11, try:      5400000
emin+1: -6.062835e-02, e+1: -5.773390e-02, T: 7.4928e-04, no:       1, try:      5580000
emin+1: -6.062835e-02, e+1: -5.835629e-02, T: 6.3096e-04, no:       3, try:      5760000
emin+1: -6.062835e-02, e+1: -5.881349e-02, T: 4.7276e-04, no:       2, try:      5940000
emin+1: -6.062835e-02, e+1: -5.920679e-02, T: 3.9811e-04, no:       9, try:      6120000
emin+1: -6.064024e-02, e+1: -5.947077e-02, T: 2.9829e-04, no:       6, try:      6300000
emin+1: -6.064024e-02, e+1: -5.969729e-02, T: 2.5119e-04, no:       2, try:      6480000
emin+1: -6.064296e-02, e+1: -5.990061e-02, T: 1.8821e-04, no:       0, try:      6660000
emin+1: -6.065185e-02, e+1: -6.006036e-02, T: 1.5849e-04, no:       2, try:      6840000
emin+1: -6.065185e-02, e+1: -6.017082e-02, T: 1.1875e-04, no:      39, try:      7020000
emin+1: -6.065185e-02, e+1: -6.026609e-02, T: 1.0000e-04, no:      18, try:      7200000
emin+1: -6.065185e-02, e+1: -6.035514e-02, T: 7.4928e-05, no:       4, try:      7380000
emin+1: -6.065362e-02, e+1: -6.040846e-02, T: 6.3096e-05, no:      14, try:      7560000
emin+1: -6.065362e-02, e+1: -6.046424e-02, T: 4.7276e-05, no:       8, try:      7740000
emin+1: -6.065844e-02, e+1: -6.049754e-02, T: 3.9811e-05, no:      31, try:      7920000
emin+1: -6.065844e-02, e+1: -6.053693e-02, T: 2.9829e-05, no:      17, try:      8100000
emin+1: -6.065872e-02, e+1: -6.055742e-02, T: 2.5119e-05, no:      52, try:      8280000
emin+1: -6.065889e-02, e+1: -6.058432e-02, T: 1.8821e-05, no:      25, try:      8460000
emin+1: -6.065889e-02, e+1: -6.059740e-02, T: 1.5849e-05, no:       9, try:      8640000
emin+1: -6.065889e-02, e+1: -6.060604e-02, T: 1.1875e-05, no:       0, try:      8820000
emin+1: -6.065889e-02, e+1: -6.062094e-02, T: 1.0000e-05, no:      12, try:      9000000
emin+1: -6.065889e-02, e+1: -6.062876e-02, T: 7.4928e-06, no:      44, try:      9180000
emin+1: -6.065946e-02, e+1: -6.063516e-02, T: 6.3096e-06, no:     161, try:      9360000
emin+1: -6.065982e-02, e+1: -6.064117e-02, T: 4.7276e-06, no:      29, try:      9540000
emin+1: -6.065982e-02, e+1: -6.064445e-02, T: 3.9811e-06, no:      33, try:      9720000
emin+1: -6.065982e-02, e+1: -6.064750e-02, T: 2.9829e-06, no:      36, try:      9900000
emin+1: -6.065982e-02, e+1: -6.064990e-02, T: 2.5119e-06, no:       4, try:     10080000
emin+1: -6.065982e-02, e+1: -6.065238e-02, T: 1.8821e-06, no:      32, try:     10260000
emin+1: -6.065982e-02, e+1: -6.065394e-02, T: 1.5849e-06, no:     297, try:     10440000
emin+1: -6.066001e-02, e+1: -6.065504e-02, T: 1.1875e-06, no:      66, try:     10620000
emin+1: -6.066001e-02, e+1: -6.065602e-02, T: 1.0000e-06, no:      84, try:     10800000
emin+1: -6.066007e-02, e+1: -6.065705e-02, T: 7.4928e-07, no:     174, try:     10980000
emin+1: -6.066010e-02, e+1: -6.065790e-02, T: 6.3096e-07, no:       0, try:     11160000
emin+1: -6.066010e-02, e+1: -6.065822e-02, T: 4.7276e-07, no:       8, try:     11340000
emin+1: -6.066011e-02, e+1: -6.065853e-02, T: 3.9811e-07, no:     182, try:     11520000
emin+1: -6.066011e-02, e+1: -6.065867e-02, T: 2.9829e-07, no:      19, try:     11700000
emin+1: -6.066011e-02, e+1: -6.065917e-02, T: 2.5119e-07, no:      20, try:     11880000
emin+1: -6.066013e-02, e+1: -6.065945e-02, T: 1.8821e-07, no:     137, try:     12060000
emin+1: -6.066013e-02, e+1: -6.065949e-02, T: 1.5849e-07, no:     113, try:     12240000
emin+1: -6.066014e-02, e+1: -6.065964e-02, T: 1.1875e-07, no:     445, try:     12420000
emin+1: -6.066014e-02, e+1: -6.065973e-02, T: 1.0000e-07, no:     607, try:     12600000
emin+1: -6.066015e-02, e+1: -6.065991e-02, T: 7.4928e-08, no:    1784, try:     12780000
emin+1: -6.066015e-02, e+1: -6.065997e-02, T: 6.3096e-08, no:     250, try:     12960000
emin+1: -6.066016e-02, e+1: -6.065999e-02, T: 4.7276e-08, no:      94, try:     13140000
emin+1: -6.066016e-02, e+1: -6.066001e-02, T: 3.9811e-08, no:     738, try:     13320000
emin+1: -6.066016e-02, e+1: -6.066004e-02, T: 2.9829e-08, no:     237, try:     13500000
emin+1: -6.066016e-02, e+1: -6.066008e-02, T: 2.5119e-08, no:    1162, try:     13680000
emin+1: -6.066016e-02, e+1: -6.066009e-02, T: 1.8821e-08, no:     287, try:     13860000
emin+1: -6.066017e-02, e+1: -6.066009e-02, T: 1.5849e-08, no:    1439, try:     14040000
emin+1: -6.066017e-02, e+1: -6.066013e-02, T: 1.1875e-08, no:       4, try:     14220000
emin+1: -6.066017e-02, e+1: -6.066012e-02, T: 1.0000e-08, no:      33, try:     14400000
emin+1: -6.066017e-02, e+1: -6.066015e-02, T: 7.4928e-09, no:    1188, try:     14580000
emin+1: -6.066017e-02, e+1: -6.066014e-02, T: 6.3096e-09, no:      67, try:     14760000
emin+1: -6.066017e-02, e+1: -6.066015e-02, T: 4.7276e-09, no:      20, try:     14940000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 3.9811e-09, no:       2, try:     15120000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 2.9829e-09, no:    3096, try:     15300000
emin+1: -6.066017e-02, e+1: -6.066016e-02, T: 2.5119e-09, no:    1425, try:     15480000
emin+1: -6.066017e-02, e+1: -6.066017e-02, T: 1.8821e-09, no:    1984, try:     15660000
