                                                                  f(m-1,m) - 1
  m    n        f(m,m+1) - 1                  k               9 - ------------
                                                                  f(m,m+1) - 1
 ---  ---  ----------------------  ----------------------  ----------------------
   1    2  4.1421356237309503e-01  3.7279220613578556e+00
   2    3  6.0660171779821290e-02  4.9134739141655244e+00  2.1715728752538097e+00
   3    4  7.4347568842793761e-03  5.4199377686396657e+00  8.4100129648007227e-01
   4    5  8.3944685934978858e-04  5.5076108441939633e+00  1.4326678160649145e-01
   5    6  9.3473576519631897e-05  5.5195212199077437e+00  1.9420775308807731e-02
   6    7  1.0388837406508226e-05  5.5210541401521391e+00  2.4988492866276925e-03
   7    8  1.1543556344109752e-06  5.5212472143630285e+00  3.1472379890705172e-04
   8    9  1.2826229403987534e-07  5.5212711863544763e+00  3.9075770008549599e-05
   9   10  1.4251373601722767e-08  5.5212741297011263e+00  4.7978273176005031e-06
  10   11  1.5834860584560921e-09  5.5212744878256768e+00  5.8376394005298422e-07
  11   12  1.7594289676208960e-10  5.5212745310712670e+00  7.0492839462273319e-08
  12   13  1.9549210769715447e-11  5.5212745362601074e+00  8.4581125603754826e-09
  13   14  2.1721345302119755e-12  5.5212745368792868e+00  1.0092985908503449e-09
  14   15  2.4134828113787835e-13  5.5212745369528218e+00  1.1986743288846866e-10
  15   16  2.6816475682028726e-14  5.5212745369615197e+00  1.4176730876377313e-11
  16   17  2.9796084091148561e-15  5.5212745369625438e+00  1.6705397886930323e-12
  17   18  3.3106760101276898e-16  5.5212745369626646e+00  1.9620969530946588e-13
  18   19  3.6785289001418870e-17  5.5212745369626788e+00  2.2978206504653467e-14
  19   20  4.0872543334909869e-18  5.5212745369626797e+00  2.6839261947443291e-15
  20   21  4.5413937038788744e-19  5.5212745369626806e+00  3.1274648149067130e-16
  21   22  5.0459930043098606e-20  5.5212745369626806e+00  3.6364326815898188e-17
  22   23  5.6066588936776226e-21  5.5212745369626806e+00  4.2198938419197056e-18
  23   24  6.2296209929751369e-22  5.5212745369626806e+00  4.8881188072415435e-19
  24   25  6.9218011033057068e-23  5.5212745369626806e+00  5.6527407544630527e-20
  25   26  7.6908901147841187e-24  5.5212745369626806e+00  6.5269315441875950e-21
  26   27  8.5454334608712442e-25  5.5212745369626806e+00  7.5256000309563190e-22
  27   28  9.4949260676347147e-26  5.5212745369626806e+00  8.6656154463379987e-23
  28   29  1.0549917852927461e-26  5.5212745369626806e+00  9.9660589783359005e-24
  29   30  1.1722130947697179e-27  5.5212745369626806e+00  1.1448507055143976e-24
  30   31  1.3024589941885755e-28  5.5212745369626806e+00  1.3137350272744760e-25
  31   32  1.4471766602095282e-29  5.5212745369626806e+00  1.5060152389872338e-26
  32   33  1.6079740668994757e-30  5.5212745369626806e+00  1.7248054356821546e-27
  33   34  1.7866378521105287e-31  5.5212745369626806e+00  1.9736228953588195e-28
  34   35  1.9851531690116985e-32  5.5212745369626806e+00  2.2564392295848404e-29
  35   36  2.2057257433463319e-33  5.5212745369626806e+00  2.5777379233257943e-30
  36   37  2.4508063814959242e-34  5.5212745369626806e+00  2.9425790523476410e-31
  37   38  2.7231182016621379e-35  5.5212745369626806e+00  3.3566720628394563e-32
  38   39  3.0256868907357092e-36  5.5212745369626806e+00  3.8264576058807165e-33
  39   40  3.3618743230396765e-37  5.5212745369626806e+00  4.3591995404269538e-34
  40   41  3.7354159144885296e-38  5.5212745369626806e+00  4.9630883541824718e-35
  41   42  4.1504621272094770e-39  5.5212745369626806e+00  5.6473574038290042e-36
  42   43  4.6116245857883080e-40  5.5212745369626806e+00  6.4224135465552306e-37
  43   44  5.1240273175425640e-41  5.5212745369626806e+00  7.2999839258893961e-38
  44   45  5.6933636861584047e-42  5.5212745369626806e+00  8.2932808889452876e-39
  45   46  6.3259596512871164e-43  5.5212745369626806e+00  9.4171872521137288e-40
  46   47  7.0288440569856848e-44  5.5212745369626806e+00  1.0688464401061018e-40
  47   48  7.8098267299840944e-45  5.5212745369626806e+00  1.2125986012093955e-41
  48   49  8.6775852555378823e-46  5.5212745369626806e+00  1.3751000519392720e-42
  49   50  9.6417613950420913e-47  5.5212745369626806e+00  1.5587425830633258e-43
  50   51  1.0713068216713436e-47  5.5212745369626806e+00  1.7662180216971782e-44
  51   52  1.1903409129681595e-48  5.5212745369626806e+00  2.0005553777674014e-45
  52   53  1.3226010144090661e-49  5.5212745369626806e+00  2.2651625410915360e-46
  53   54  1.4695566826767402e-50  5.5212745369626806e+00  2.5638730817251402e-47
  54   55  1.6328407585297111e-51  5.5212745369626806e+00  2.9009987728564398e-48
  55   56  1.8142675094774571e-52  5.5212745369626806e+00  3.2813885301437671e-49
  56   57  2.0158527883082856e-53  5.5212745369626806e+00  3.7104945449411622e-50
  57   58  2.2398364314536506e-54  5.5212745369626806e+00  4.1944464824078081e-51
  58   59  2.4887071460596117e-55  5.5212745369626806e+00  4.7401347202381388e-52
